Pulled,Restaurant,Park,Item,Category,MealPeriods,Description,Price,Source
2026-09-04,Anandapur Ice Cream Truck,Disney's Animal Kingdom,Motunui Ube Sundae,Desserts,Snack,"Ube Soft-serve with Tropical Fruits, Coconut, Raspberry Crumbs, and Macadamia",7.29,animal-kingdom/anandapur-ice-cream-truck
2026-09-04,Anandapur Ice Cream Truck,Disney's Animal Kingdom,Soft-serve Waffle Cone,Desserts,Snack,"Vanilla, Chocolate, Ube, or Swirl",6.29,animal-kingdom/anandapur-ice-cream-truck
2026-09-04,Anandapur Ice Cream Truck,Disney's Animal Kingdom,Float,Desserts,Snack,with choice of Fountain Beverage,6.79,animal-kingdom/anandapur-ice-cream-truck
2026-09-04,Anandapur Ice Cream Truck,Disney's Animal Kingdom,Hand-dipped Mickey's Premium Ice Cream Bar,Desserts,Snack,with SKITTLES® POP'd Original Freeze Dried Candy,7.99,animal-kingdom/anandapur-ice-cream-truck
2026-09-04,Anandapur Ice Cream Truck,Disney's Animal Kingdom,Assorted Fountain Beverages,Beverages,Snack,,5.59,animal-kingdom/anandapur-ice-cream-truck
2026-09-04,Anandapur Ice Cream Truck,Disney's Animal Kingdom,DASANI® Bottled Water,Beverages,Snack,,4.25,animal-kingdom/anandapur-ice-cream-truck
2026-09-04,Anandapur Ice Cream Truck,Disney's Animal Kingdom,Kona Longboard Island Lager,Alcoholic Beverages,Snack,,12.25,animal-kingdom/anandapur-ice-cream-truck
2026-09-04,Anandapur Ice Cream Truck,Disney's Animal Kingdom,Sierra Nevada Pale Ale,Alcoholic Beverages,Snack,,12.25,animal-kingdom/anandapur-ice-cream-truck
2026-09-04,Caravan Road,Disney's Animal Kingdom,Kakigori,Shaved Ice,Snack,Japanese Shaved Ice Dessert flavored with Watermelon and Sweetened Condensed Milk,6.29,animal-kingdom/caravan-road
2026-09-04,Caravan Road,Disney's Animal Kingdom,Watermelon,Shaved Ice,Snack,,5.99,animal-kingdom/caravan-road
2026-09-04,Caravan Road,Disney's Animal Kingdom,Mango-Passion Fruit,Shaved Ice,Snack,,5.99,animal-kingdom/caravan-road
2026-09-04,Caravan Road,Disney's Animal Kingdom,Piña Colada,Shaved Ice,Snack,,5.99,animal-kingdom/caravan-road
2026-09-04,Caravan Road,Disney's Animal Kingdom,Tropical Slushy,Shaved Ice,Snack,Shaved Ice with Mango and Watermelon Syrup,5.99,animal-kingdom/caravan-road
2026-09-04,Caravan Road,Disney's Animal Kingdom,Kakigori with Vodka,Alcoholic Offerings,Snack,Japanese Shaved Ice Dessert flavored with Watermelon and Sweetened Condensed Milk with SKYY Vodka,15.50,animal-kingdom/caravan-road
2026-09-04,Caravan Road,Disney's Animal Kingdom,Watermelon Shaved Ice with Vodka,Alcoholic Offerings,Snack,Shaved Ice with Watermelon Syrup and SKYY Vodka,15.50,animal-kingdom/caravan-road
2026-09-04,Caravan Road,Disney's Animal Kingdom,Mango-Passion Fruit Shaved Ice with Vodka,Alcoholic Offerings,Snack,Shaved Ice with Mango-Passion Fruit Syrup and SKYY Vodka,15.50,animal-kingdom/caravan-road
2026-09-04,Caravan Road,Disney's Animal Kingdom,Piña Colada,Alcoholic Offerings,Snack,Shaved Ice with Piña Colada Syrup with Coconut Rum,13.50,animal-kingdom/caravan-road
2026-09-04,Caravan Road,Disney's Animal Kingdom,Tropical Shaved Ice with Vodka,Alcoholic Offerings,Snack,Shaved Ice with Mango and Watermelon Syrup and SKYY Vodka,15.50,animal-kingdom/caravan-road
2026-09-04,Caravan Road,Disney's Animal Kingdom,DASANI® Bottled Water,Non-Alcoholic Beverages ,Snack,,4.25,animal-kingdom/caravan-road
2026-09-04,Creature Comforts,Disney's Animal Kingdom,Caramel Frappuccino® - Grande,Frappuccino®,Coffee – Bakery,,6.75,animal-kingdom/creature-comforts
2026-09-04,Creature Comforts,Disney's Animal Kingdom,Caramel Ribbon Crunch Frappuccino® - Grande,Frappuccino®,Coffee – Bakery,,6.75,animal-kingdom/creature-comforts
