Pulled,Restaurant,Park,Item,Category,MealPeriods,Description,Price,Source
2026-09-05,Amorette's Patisserie,Disney Springs,Candle Petit Cake,Limited Time Offerings,Snack,"Black Velvet Cake with Spiced Berry Jam, Pumpkin Ganache, and Dark Chocolate Glaçage",22.00,disney-springs/amorettes-patisserie
2026-09-05,Amorette's Patisserie,Disney Springs,Mickey and Minnie Cookie Art with Edible Watercolor Paints,Limited Time Offerings,Snack,"Create-your-own Mickey and Minnie Cookie using Edible Watercolor Paints! Kit includes 1 Mickey Cookie, 1 Minnie Cookie, 1 Painter's Palette Cookie, Paint Brushes, and Water to activate the Paints.",19.00,disney-springs/amorettes-patisserie
2026-09-05,Amorette's Patisserie,Disney Springs,Apple Cheesecake,Limited Time Offerings,Snack,"Vanilla Cheesecake, Apple Compote, Apple-Caramel Ganache, Spiced Graham Cracker Crust",9.75,disney-springs/amorettes-patisserie
2026-09-05,Amorette's Patisserie,Disney Springs,Pumpkin-Spiced Crème Brûlée,Limited Time Offerings,Snack,Vanilla and Pumpkin-spiced Crème Brûlée with Maple Whipped Cream and Meringue,8.75,disney-springs/amorettes-patisserie
2026-09-05,Amorette's Patisserie,Disney Springs,Cherry Pie Éclair,Limited Time Offerings,Snack,"Éclair filled with Cherry Pie Filling, Streusel, and Vanilla Mousse",8.00,disney-springs/amorettes-patisserie
2026-09-05,Amorette's Patisserie,Disney Springs,Peanut Butter Éclair,Limited Time Offerings,Snack,"Éclair filled with Peanut Butter Mousse, Caramel Ganache, and Nougat Pieces",8.00,disney-springs/amorettes-patisserie
2026-09-05,Amorette's Patisserie,Disney Springs,S'mores Éclair,Limited Time Offerings,Snack,"Éclair filled with Marshmallow Mousse, Chocolate Ganache, and Graham Cracker Crust",8.00,disney-springs/amorettes-patisserie
2026-09-05,Amorette's Patisserie,Disney Springs,Halloween Brownie,Limited Time Offerings,Snack,"Topped with Cookie Pieces, Passion Fruit Crispy Pearls, and Chocolate Coin",6.50,disney-springs/amorettes-patisserie
2026-09-05,Amorette's Patisserie,Disney Springs,Halloween Cookie,Limited Time Offerings,Snack,"Chocolate Chip Cookie with Pretzel Pieces, Toffee, Milk and Dark Chocolate Chips, and Chocolate Coin",5.00,disney-springs/amorettes-patisserie
2026-09-05,Amorette's Patisserie,Disney Springs,Disney Springs Corkcicle,Featured Alcoholic Offerings,Snack,Nino Franco Rustico Prosecco with Lavender Syrup served in a souvenir CORKCICLE® cup,38.00,disney-springs/amorettes-patisserie
2026-09-05,Amorette's Patisserie,Disney Springs,Amorette's Signature Petite Cake,Signature Pastries,Snack,"Vanilla Mousse, Vanilla Chiffon, Vanilla Simple Syrup",24.00,disney-springs/amorettes-patisserie
2026-09-05,Amorette's Patisserie,Disney Springs,Macarons - Six Count,Signature Pastries,Snack,"Strawberry, Orange, and Chocolate Vanilla",16.00,disney-springs/amorettes-patisserie
2026-09-05,Amorette's Patisserie,Disney Springs,Petite Mickey Mouse Dome,Signature Pastries,Snack,"Chocolate Chiffon Cake, Dark Chocolate Mousse, and White Chocolate Mousse",11.00,disney-springs/amorettes-patisserie
