Pulled,Restaurant,Park,Item,Category,MealPeriods,Description,Price,Source
2026-09-04,Akershus Royal Banquet Hall,EPCOT,So Many Wishes,Non-Alcoholic Beverages,Breakfast,"Pomegranate Green Tea, Hibiscus, Lemon, and a dash of Stardust",6.79,epcot/akershus-royal-banquet-hall
2026-09-04,Akershus Royal Banquet Hall,EPCOT,Joffrey’s™ Cold Brew Coffee,Non-Alcoholic Beverages,Breakfast,,5.49,epcot/akershus-royal-banquet-hall
2026-09-04,Akershus Royal Banquet Hall,EPCOT,Enchanted Grove Lime Splash,Non-Alcoholic Beverages,Breakfast,Minute Maid® Limeade paired with the revitalizing flavors of Cucumber and Mint,6.29,epcot/akershus-royal-banquet-hall
2026-09-04,Akershus Royal Banquet Hall,EPCOT,Royal Berry Spritzer,Non-Alcoholic Beverages,Breakfast,"Blackberry, Pomegranate, and Lime blended with Topo Chico® Blueberry Hibiscus Sparkling Water",6.59,epcot/akershus-royal-banquet-hall
2026-09-04,Akershus Royal Banquet Hall,EPCOT,Viking Coffee,Specialty Cocktails,Breakfast,"Featuring Joffrey's Coffee™. A robust combination of Colombian Coffee, Kamora Coffee Liqueur, and Baileys Original Irish Cream Liqueur.",16.50,epcot/akershus-royal-banquet-hall
2026-09-04,Akershus Royal Banquet Hall,EPCOT,Midnight Sun,Specialty Cocktails,Breakfast,Perfect blend of LINIE Aquavit Liqueur and Minute Maid® Orange Juice with a splash of Grenadine that will take you to the place where sunset merges into sunrise,16.50,epcot/akershus-royal-banquet-hall
2026-09-04,Akershus Royal Banquet Hall,EPCOT,Blackberry-Orange Spritz,Specialty Cocktails,Breakfast,"Ketel One Botanical Peach & Orange Blossom Vodka, Rockey’s Botanical Liqueur, Kim Crawford Sauvignon Blanc, and Blackberry",17.50,epcot/akershus-royal-banquet-hall
2026-09-04,Akershus Royal Banquet Hall,EPCOT,Legacy Mimosa,Specialty Cocktails,Breakfast,"Uncle Nearest 1884 Small Batch Tennessee Whiskey, Grand Marnier Liqueur, Chateau Ste. Michelle Sparkling Wine, and Minute Maid® Orange Juice",20.50,epcot/akershus-royal-banquet-hall
2026-09-04,Akershus Royal Banquet Hall,EPCOT,Viking Bloody Mary,Specialty Cocktails,Breakfast,Blend of Helix7 Vodka with Bloody Mary Mix,18.50,epcot/akershus-royal-banquet-hall
2026-09-04,Akershus Royal Banquet Hall,EPCOT,Royal Berry Spritzer,Non-Alcoholic Specialty Beverages,Lunch; Dinner,"Blackberry, Pomegranate, and Lime blended with Topo Chico® Blueberry Hibiscus Sparkling Water",6.59,epcot/akershus-royal-banquet-hall
2026-09-04,Akershus Royal Banquet Hall,EPCOT,Enchanted Grove Lime Splash,Non-Alcoholic Specialty Beverages,Lunch; Dinner,Minute Maid® Limeade paired with the revitalizing flavors of Cucumber and Mint,6.29,epcot/akershus-royal-banquet-hall
2026-09-04,Akershus Royal Banquet Hall,EPCOT,So Many Wishes,Non-Alcoholic Specialty Beverages,Lunch; Dinner,"Pomegranate Green Tea, Hibiscus, Lemon, and a dash of Stardust",6.79,epcot/akershus-royal-banquet-hall
2026-09-04,Akershus Royal Banquet Hall,EPCOT,Joffrey’s™ Cold Brew Coffee,Non-Alcoholic Specialty Beverages,Lunch; Dinner,,5.49,epcot/akershus-royal-banquet-hall
2026-09-04,Akershus Royal Banquet Hall,EPCOT,Northern Lights Cocktail,Specialty Drinks,Lunch; Dinner,"Helix7 Vodka, Bols Blue Curaçao Liqueur, Blueberry, Desert Pear, and Sprite® with a souvenir Glow Cube",21.50,epcot/akershus-royal-banquet-hall
2026-09-04,Akershus Royal Banquet Hall,EPCOT,Blue Viking,Specialty Drinks,Lunch; Dinner,"This blend of Helix7 Vodka, Don Q Cristal Rum, El Jimador Blanco Tequila, Askur Gin, and Bols Blue Curaçao Liqueur will tame even the mightiest of Norse God thirst",18.50,epcot/akershus-royal-banquet-hall
2026-09-04,Akershus Royal Banquet Hall,EPCOT,The Bifröst,Specialty Drinks,Lunch; Dinner,This blend of LINIE Aquavit Liqueur and Orange Cream with a splash of Grenadine will bring you along the journey between Midgard and Asgard,18.50,epcot/akershus-royal-banquet-hall
2026-09-04,Akershus Royal Banquet Hall,EPCOT,The Stavanger,Specialty Drinks,Lunch; Dinner,"A refreshing frozen blend of Helix7 Vodka, LINIE Aquavit Liqueur, and Raspberry",18.50,epcot/akershus-royal-banquet-hall
2026-09-04,Akershus Royal Banquet Hall,EPCOT,The Oslo,Specialty Drinks,Lunch; Dinner,"A creation from the capital city, this frozen favorite combines Helix7 Vodka, LINIE Aquavit Liqueur, Bols Crème de Banana Liqueur, and Strawberries",18.50,epcot/akershus-royal-banquet-hall
