Pulled,Restaurant,Park,Item,Category,MealPeriods,Description,Price,Source
2026-09-04,50's Prime Time Café,Disney's Hollywood Studios,Cornbread Skillet,Appetizers,Lunch; Dinner,Served with Butter and Honey,11.00,hollywood-studios/50s-prime-time-cafe
2026-09-04,50's Prime Time Café,Disney's Hollywood Studios,Shrimp Cocktail,Appetizers,Lunch; Dinner,Served with Nappa Cabbage Slaw and Cocktail Sauce,16.00,hollywood-studios/50s-prime-time-cafe
2026-09-04,50's Prime Time Café,Disney's Hollywood Studios,Beer-battered Onion Rings,Appetizers,Lunch; Dinner,Served with Horseradish Sauce,13.00,hollywood-studios/50s-prime-time-cafe
2026-09-04,50's Prime Time Café,Disney's Hollywood Studios,Mixed Salad,Appetizers,Lunch; Dinner,"Spring Mix tossed with Vinaigrette, Roasted Vegetables, and Pepitas",12.00,hollywood-studios/50s-prime-time-cafe
2026-09-04,50's Prime Time Café,Disney's Hollywood Studios,Cousin Bob’s Chowder,Appetizers,Lunch; Dinner,Fresh Corn Chowder with House-smoked Ham,10.00,hollywood-studios/50s-prime-time-cafe
2026-09-04,50's Prime Time Café,Disney's Hollywood Studios,Aunt Liz's Golden Fried Chicken,Entrées,Lunch; Dinner,"Served with Mashed Potatoes, Chicken Gravy, and Seasonal Vegetables",29.00,hollywood-studios/50s-prime-time-cafe
2026-09-04,50's Prime Time Café,Disney's Hollywood Studios,A Sampling of Mom's Favorite Recipes,Entrées,Lunch; Dinner,"Golden-fried Chicken, Fork-tender Pot Roast, and Traditional Meatloaf with Green Beans and Mashed Potatoes",34.00,hollywood-studios/50s-prime-time-cafe
2026-09-04,50's Prime Time Café,Disney's Hollywood Studios,Caesar Salad with Chicken,Entrées,Lunch; Dinner,Romaine tossed with Caesar Dressing and Grated Parmesan\,18.00,hollywood-studios/50s-prime-time-cafe
2026-09-04,50's Prime Time Café,Disney's Hollywood Studios,Cousin Harold's Rigatoni Pasta,Entrées,Lunch; Dinner,Mixed with Vegetables and Chickpeas (Plant-based),22.00,hollywood-studios/50s-prime-time-cafe
2026-09-04,50's Prime Time Café,Disney's Hollywood Studios,Grilled Salmon*,Entrées,Lunch; Dinner,"Grilled Fresh Salmon with Grain Mustard-Chardonnay Beurre Blanc, Crushed Fingerling Potatoes with Olive Oil, and Green Beans",32.00,hollywood-studios/50s-prime-time-cafe
2026-09-04,50's Prime Time Café,Disney's Hollywood Studios,Grandpa Jean’s Chicken Pot Pie,Entrées,Lunch; Dinner,"A Traditional Pastry Crust Filled with Chicken, Potatoes, Carrots, Celery, Onions, Corn, and Peas",26.00,hollywood-studios/50s-prime-time-cafe
