Pulled,Restaurant,Park,Item,Category,MealPeriods,Description,Price,Source
2026-09-05,Aloha Isle,Magic Kingdom,DOLE Whip® Mango and Chamoy Float,Halloween Exclusives,Snack; Special,"DOLE Whip® Mango, DOLE® Pineapple Juice, Chamoy, and Chili-Lime Seasoning",7.49,magic-kingdom/aloha-isle
2026-09-05,Aloha Isle,Magic Kingdom,Tropical Serenade Float,Featured Beverages,Snack; Special,"Passion Fruit, Orange, and Guava Juice with Coconut Soft-serve and a Pineapple Upside-down Cake Garnish",8.29,magic-kingdom/aloha-isle
2026-09-05,Aloha Isle,Magic Kingdom,DOLE Whip® Pineapple Juice Float,Snacks,Snack; Special,"Served with choice of DOLE Whip® Pineapple, Vanilla, or Swirl",7.29,magic-kingdom/aloha-isle
2026-09-05,Aloha Isle,Magic Kingdom,Soft-serve Cup,Snacks,Snack; Special,"Served with choice of DOLE Whip® Pineapple, Vanilla, DOLE Whip® Pineapple and Vanilla Swirl, or Coconut",5.99,magic-kingdom/aloha-isle
2026-09-05,Aloha Isle,Magic Kingdom,Pineapple Upside-Down Cake,Snacks,Snack; Special,"Served with choice of DOLE Whip® Pineapple, Vanilla, or Swirl",7.49,magic-kingdom/aloha-isle
2026-09-05,Aloha Isle,Magic Kingdom,DOLE® Pineapple Juice,Beverages,Snack; Special,,4.59,magic-kingdom/aloha-isle
2026-09-05,Aloha Isle,Magic Kingdom,DASANI® Bottled Water,Beverages,Snack; Special,,4.25,magic-kingdom/aloha-isle
2026-09-05,Auntie Gravity's Galactic Goodies,Magic Kingdom,Cauldron Cold Brew,Halloween Exclusives,Snack; Special Ticketed Event,Joffrey’s™ Cold Brew Coffee with Pumpkin-spiced Foam and Halloween Sprinkles,6.49,magic-kingdom/auntie-gravitys-galactic-goodies
2026-09-05,Auntie Gravity's Galactic Goodies,Magic Kingdom,Soft-serve Cup,Desserts,Snack; Special Ticketed Event,"Vanilla, Chocolate, Salted Caramel, or Swirl. Large Soft-serve Cup 6.99",5.79,magic-kingdom/auntie-gravitys-galactic-goodies
2026-09-05,Auntie Gravity's Galactic Goodies,Magic Kingdom,Churro,Desserts,Snack; Special Ticketed Event,,5.99,magic-kingdom/auntie-gravitys-galactic-goodies
2026-09-05,Auntie Gravity's Galactic Goodies,Magic Kingdom,Churro with Chocolate Dipping Sauce,Desserts,Snack; Special Ticketed Event,,7.49,magic-kingdom/auntie-gravitys-galactic-goodies
2026-09-05,Auntie Gravity's Galactic Goodies,Magic Kingdom,Zurg Overload Shake,Featured Offerings,Snack,"Vanilla Shake with Cherry Coating, Marshmallow Whipped Cream, Sprinkles, and a Chocolate Piece",9.29,magic-kingdom/auntie-gravitys-galactic-goodies
2026-09-05,Auntie Gravity's Galactic Goodies,Magic Kingdom,Hand-dipped Mickey's Premium Ice Cream Bar,Featured Offerings,Snack,with M&M’S® Milk Chocolate Minis,7.99,magic-kingdom/auntie-gravitys-galactic-goodies
2026-09-05,Auntie Gravity's Galactic Goodies,Magic Kingdom,Churro Shake,Floats and Shakes,Snack; Special Ticketed Event,"Vanilla Shake topped with Whipped Cream, Caramel Sauce, and Churro Pieces",9.29,magic-kingdom/auntie-gravitys-galactic-goodies
2026-09-05,Auntie Gravity's Galactic Goodies,Magic Kingdom,Vanilla Shake,Floats and Shakes,Snack; Special Ticketed Event,,8.79,magic-kingdom/auntie-gravitys-galactic-goodies
2026-09-05,Auntie Gravity's Galactic Goodies,Magic Kingdom,Chocolate Shake,Floats and Shakes,Snack; Special Ticketed Event,,8.79,magic-kingdom/auntie-gravitys-galactic-goodies
2026-09-05,Auntie Gravity's Galactic Goodies,Magic Kingdom,Space Ranger Float,Floats and Shakes,Snack; Special Ticketed Event,"DOLE Whip® Lime and Vanilla Soft-serve Swirl, Sprite®, Green Apple Pearls, Sprinkles, and a Chocolate Piece",7.49,magic-kingdom/auntie-gravitys-galactic-goodies
2026-09-05,Auntie Gravity's Galactic Goodies,Magic Kingdom,Chocolate-Salted Caramel Cold Brew Float,Floats and Shakes,Snack; Special Ticketed Event,Joffrey's™ Cold Brew Coffee with Chocolate Soft-serve and Salted Caramel Sauce,7.19,magic-kingdom/auntie-gravitys-galactic-goodies
2026-09-05,Auntie Gravity's Galactic Goodies,Magic Kingdom,Floats,Floats and Shakes,Snack; Special Ticketed Event,Vanilla Soft Serve with your choice of Assorted Coca-Cola® Fountain Beverages,6.99,magic-kingdom/auntie-gravitys-galactic-goodies
2026-09-05,Auntie Gravity's Galactic Goodies,Magic Kingdom,Cherry Limeade Float,Floats and Shakes,Snack; Special Ticketed Event,"DOLE Whip® Lime with Sprite®, Grenadine, and a Cherry",6.79,magic-kingdom/auntie-gravitys-galactic-goodies
2026-09-05,Auntie Gravity's Galactic Goodies,Magic Kingdom,Assorted Fountain Beverages,Beverages,Snack; Special Ticketed Event,,4.79,magic-kingdom/auntie-gravitys-galactic-goodies
2026-09-05,Auntie Gravity's Galactic Goodies,Magic Kingdom,DASANI® Bottled Water,Beverages,Snack; Special Ticketed Event,,4.25,magic-kingdom/auntie-gravitys-galactic-goodies
2026-09-05,Auntie Gravity's Galactic Goodies,Magic Kingdom,Joffrey’s™ Cold Brew Coffee,Beverages,Snack; Special Ticketed Event,with Sweet Cream. Large Joffrey’s™ Cold Brew Coffee 6.49,5.99,magic-kingdom/auntie-gravitys-galactic-goodies
2026-09-05,Auntie Gravity's Galactic Goodies,Magic Kingdom,Candy Bowl Sundae,Mickey's Not-So-Scary Halloween Party Exclusives,Special Ticketed Event,"Vanilla Soft-serve topped with Chocolate Cone Dip, SNICKERS® bar pieces, TWIX® cookie bar pieces, and M&M’S® Milk Chocolate Candies Halloween Blend",7.99,magic-kingdom/auntie-gravitys-galactic-goodies
