Pulled,Restaurant,Park,Item,Category,MealPeriods,Description,Price,Source
2026-09-04,Silver Screen Spirits Pool Bar,All-Star Movies Resort,Greek Salad,Movie Reel Meals,Pool Bar,,9.99,all-star-movies-resort/silver-screen-spirits-pool-bar
2026-09-04,Silver Screen Spirits Pool Bar,All-Star Movies Resort,Turkey and Provolone Sandwich,Movie Reel Meals,Pool Bar,,12.99,all-star-movies-resort/silver-screen-spirits-pool-bar
2026-09-04,Silver Screen Spirits Pool Bar,All-Star Movies Resort,Caesar Salad with Chicken,Movie Reel Meals,Pool Bar,,11.99,all-star-movies-resort/silver-screen-spirits-pool-bar
2026-09-04,Silver Screen Spirits Pool Bar,All-Star Movies Resort,Charcuterie,Spotlight Snacks,Pool Bar,"Cubed Cheese, Salami, Ham, Grapes, Tomatoes, and Olives",9.99,all-star-movies-resort/silver-screen-spirits-pool-bar
2026-09-04,Silver Screen Spirits Pool Bar,All-Star Movies Resort,Cheese Cup,Spotlight Snacks,Pool Bar,,5.49,all-star-movies-resort/silver-screen-spirits-pool-bar
2026-09-04,Silver Screen Spirits Pool Bar,All-Star Movies Resort,Fresh Fruit,Spotlight Snacks,Pool Bar,,5.69,all-star-movies-resort/silver-screen-spirits-pool-bar
2026-09-04,Silver Screen Spirits Pool Bar,All-Star Movies Resort,Mickey Pretzel with Cheese Sauce,Spotlight Snacks,Pool Bar,,8.49,all-star-movies-resort/silver-screen-spirits-pool-bar
2026-09-04,Silver Screen Spirits Pool Bar,All-Star Movies Resort,Assorted Chips,Spotlight Snacks,Pool Bar,,3.29,all-star-movies-resort/silver-screen-spirits-pool-bar
2026-09-04,Silver Screen Spirits Pool Bar,All-Star Movies Resort,Ice Cream Novelties,Spotlight Snacks,Pool Bar,,5.99,all-star-movies-resort/silver-screen-spirits-pool-bar
2026-09-04,Silver Screen Spirits Pool Bar,All-Star Movies Resort,Charcuterie,Enhancements,Pool Bar,"Cubed Cheese, Salami, Ham, Grapes, Tomatoes, and Olives",9.99,all-star-movies-resort/silver-screen-spirits-pool-bar
2026-09-04,Silver Screen Spirits Pool Bar,All-Star Movies Resort,Lava Smoothie,Non-Alcoholic Specialties,Pool Bar,Raspberry Purée blended with flavors of Coconut and Pineapple,6.79,all-star-movies-resort/silver-screen-spirits-pool-bar
2026-09-04,Silver Screen Spirits Pool Bar,All-Star Movies Resort,Strawberry Smoothie,Non-Alcoholic Specialties,Pool Bar,Made with Minute Maid® Strawberry Smoothie,6.59,all-star-movies-resort/silver-screen-spirits-pool-bar
